Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,Alpha_Naive_Bayes,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo Support
True,False,False,1000,1.1,False,False,2,90.51526331925807,0.8317576592384116,0.8605690418133609,0.838329698519529,0.9021010056680193,0.9191731917717318,0.9104102650678929,274.7,0.7547034700618855,0.8795299938157081,0.8120476869921329,98.8,0.934163248790871,0.6636363636363637,0.7757914201921956,154.0,0.5683333333333334,0.6916666666666667,0.6083333333333333,3.3,0.9947839713913742,0.9924248606011151,0.9935874878604061,171.7,0.9779929676798262,0.9985226185595188,0.9881319822235126,270.6,0.6162512622602737,0.7955510204081634,0.6940887857832714,49.9,0.9057320147217087,0.944047619047619,0.9242466267034868,48.2
True,False,False,1000,1.1,False,False,1,90.54323968393328,0.8264156426050728,0.8638826505299964,0.8377192234920849,0.9068164032331408,0.9180849369608494,0.9122806409633213,274.7,0.7528301901449914,0.8805607091321377,0.8114662058788309,98.8,0.9278520808458858,0.6675324675324676,0.7762309950082931,154.0,0.54,0.7166666666666667,0.6073015873015872,3.3,0.9970827833377334,0.9918434652522778,0.9944469317714846,171.7,0.9779929676798262,0.9985226185595188,0.9881319822235126,270.6,0.624622855456401,0.785469387755102,0.6952283636392157,49.9,0.8841278601426057,0.9523809523809523,0.9166670811504345,48.2
True,False,False,1000,1.1,False,False,0.5,90.54321355407836,0.8230627848797113,0.8634069641262601,0.8359300372573314,0.9049174778706425,0.9180836098208361,0.9112916982300865,274.7,0.7540652623157907,0.877509791795506,0.810888043676729,98.8,0.9258259895190933,0.6707792207792208,0.7775890290634395,154.0,0.515,0.7166666666666667,0.5934126984126984,3.3,0.9976710186318509,0.9918434652522778,0.994736757018865,171.7,0.9783512954834095,0.9985226185595188,0.988314119298526,270.6,0.6365065389767356,0.781469387755102,0.7009817737909894,49.9,0.8721646962401678,0.9523809523809523,0.9102261785673166,48.2
True,False,False,1000,1.1,False,False,0.25,90.48720856501807,0.8256960722211047,0.8587036516377052,0.835624923200968,0.9016540343065556,0.9177186463171862,0.9094628877824208,274.7,0.7538242575251117,0.8704390847247991,0.8076235478721671,98.8,0.9240788006156675,0.6714285714285715,0.7774229575590387,154.0,0.5399999999999999,0.6833333333333333,0.5943650793650794,3.3,0.9976710186318509,0.9918434652522778,0.994736757018865,171.7,0.9783578830986928,0.9988916222495557,0.9884989436149774,270.6,0.6356176346154025,0.779469387755102,0.6996377885803363,49.9,0.874364948975557,0.9565051020408163,0.9132514238148604,48.2
True,False,False,1000,1.1,False,False,0.1,90.43120357595775,0.8278011142208944,0.8571947214675395,0.8365630780637765,0.8966874305283152,0.9191745189117452,0.9076226468697657,274.7,0.7568212022417541,0.8592970521541948,0.8043392014966907,98.8,0.9203395386364799,0.6733766233766234,0.7774260187103048,154.0,0.5533333333333333,0.6833333333333333,0.6043650793650793,3.3,0.9982558139534884,0.9918434652522778,0.9950265972657405,171.7,0.9783578830986928,0.9988916222495557,0.9884989436149774,270.6,0.6335207445833292,0.7834693877551021,0.700033240691814,49.9,0.8850929673917625,0.9481717687074831,0.9151928964958385,48.2
True,False,False,1000,1.1,False,False,0.01,90.30983910977328,0.8485360861257437,0.8523736487733101,0.843026839382332,0.8876761777630298,0.9228161911081617,0.9047291453282323,274.7,0.7605492036212567,0.844114615543187,0.7994770438411639,98.8,0.9155621837491404,0.6649350649350649,0.7698787547091419,154.0,0.725,0.65,0.6633333333333333,3.3,0.9982490140078879,0.9906772745818031,0.994434936998638,171.7,0.980132832957796,0.9988916222495557,0.9894036671799297,270.6,0.6344720032035562,0.8015510204081633,0.7079142021297377,49.9,0.8866472737032829,0.9460034013605443,0.9150436315384791,48.2
True,False,False,1000,1.1,False,False,0.001,90.07643853561326,0.8486852783650036,0.848706845226521,0.8410075148083902,0.8804582474868594,0.9239084273390841,0.9014759770397351,274.7,0.7604989523614039,0.8289218717790148,0.7926286247828755,98.8,0.9084877509304962,0.6597402597402597,0.7639516157965905,154.0,0.7416666666666667,0.65,0.6680952380952381,3.3,0.9982490140078879,0.9906772745818031,0.994434936998638,171.7,0.980132832957796,0.9988916222495557,0.9894036671799297,270.6,0.6314959369580623,0.791469387755102,0.7019863585710551,49.9,0.8884928255508564,0.9460459183673467,0.9160837000030583,48.2
True,False,False,1000,1.1,True,False,2,87.82670157615287,0.7725619491125962,0.7063433022468592,0.730290976259173,0.763337062941156,0.9767073656270737,0.8568426478297834,274.7,0.8116198811681175,0.713512677798392,0.759016165975148,98.8,0.9244656839817444,0.6461038961038962,0.7601709711777704,154.0,0.0,0.0,0.0,3.3,0.9913218251457782,0.9930062559499524,0.992143245005165,171.7,0.9598732005485946,0.9855828891622249,0.9725025140550073,270.6,0.7572553359439953,0.5308163265306123,0.6211056288862246,49.9,0.9726226031713836,0.805017006802721,0.8805466371442853,48.2
True,False,False,1000,1.1,True,False,1,89.7404608609613,0.7738355373435822,0.7487760550212605,0.7574144276978899,0.8224247283155695,0.9657810218978102,0.8882254305527555,274.7,0.7963579124096271,0.7894042465471036,0.7921841461161806,98.8,0.9296502658926938,0.6707792207792208,0.7787756028542345,154.0,0.0,0.0,0.0,3.3,0.9924880951219766,0.9930062559499524,0.9927246301794057,171.7,0.9709802740827541,0.9852138854721879,0.9780025383663411,270.6,0.7198454304489783,0.6752244897959183,0.6954018812814698,49.9,0.9589375924770586,0.910799319727891,0.9340011922327331,48.2
True,False,False,1000,1.1,True,False,0.5,90.3566115500927,0.7710446145238932,0.7637804370660491,0.7637132457319773,0.8439983998574805,0.9566781685467817,0.8966572369230178,274.7,0.7881038043705988,0.8430220573077716,0.8137583591590521,98.8,0.9304406211641172,0.6714285714285714,0.7795912771707211,154.0,0.0,0.0,0.0,3.3,0.993637906770774,0.9930062559499524,0.9933010131072223,171.7,0.9889549638977083,0.9852138854721879,0.9870460839846414,270.6,0.6774195289637117,0.7273061224489795,0.6999672715443286,49.9,0.9458016911667535,0.9335884353741497,0.9393847239668347,48.2
